MatchID,Year,3 Events,MatchCode,RoundShortName,RoundFullName,Pl1,Pl2,event_date,StartTime_GMT,ScoreRulesATP 1 (from 3 Events)
11892070,2023,US Open Men,1742,1/64,First round,A. Bublik,D. Thiem,2023-08-28,17:15,BO5
11892072,2023,US Open Men,1744,1/64,First round,R. Carballes Baena,H. Rune,2023-08-28,18:45,BO5
11892100,2023,US Open Men,1758,1/64,First round,J.J. Wolf,Z. Zhang,2023-08-28,17:10,BO5
11892000,2023,US Open Women,2759,1/64,First round,I. Swiatek,R. Peterson,2023-08-28,18:10,BO3
11892114,2023,US Open Women,2725,1/64,First round,D. Kasatkina,A. Parks,,21:00,BO3
11891973,2023,US Open Men,1709,1/64,First round,A. Molcan,G. Dimitrov,,19:20,BO5
11892090,2023,US Open Men,1724,1/64,First round,D. Medvedev,A. Balazs,,18:10,BO5
11892864,2023,US Open Men,1631,1/32,Second round,S. Tsitsipas,D. Stricker,2023-08-30,17:25,BO5
11893641,2023,US Open Men,1504,1/16,Third round,L. Djere,N. Djokovic,,3:50,BO5
11893642,2023,US Open Men,1512,1/16,Third round,B. Shelton,A. Karatsev,,19:40,BO5
11893643,2023,US Open Men,1513,1/16,Third round,D. Stricker,B. Bonzi,,22:20,BO5
11893226,2023,US Open Men,1619,1/32,Second round,M. Mmoh,J. Isner,,17:10,BO5
11893644,2023,US Open Women,2508,1/16,Third round,E. Rybakina,S. Cirstea,,3:05,BO3
11893706,2023,US Open Women,2516,1/16,Third round,C. Wozniacki,J. Brady,,20:55,BO3
11892866,2023,US Open Women,2615,1/32,Second round,P. Kvitova,C. Wozniacki,,3:15,BO3
11894062,2023,US Open Women,2406,1/8,Fourth round,I. Swiatek,J. Ostapenko,2023-09-03,22:10,BO3
11894072,2023,US Open Women,2408,1/8,Fourth round,C. Wozniacki,C. Gauff,2023-09-03,15:30,BO3
11895813,2023,US Open Women,2201,SF,Semi-finals,M. Keys,A. Sabalenka,2023-09-07,22:25,BO3
11895417,2023,US Open Women,2202,SF,Semi-finals,C. Gauff,K. Muchova,2023-09-07,19:15,BO3
11895826,2023,US Open Men,1201,SF,Semi-finals,C. Alcaraz,D. Medvedev,2023-09-08,19:20,BO5
11895425,2023,US Open Men,1202,SF,Semi-finals,B. Shelton,N. Djokovic,2023-09-08,15:15,BO5
11896044,2023,US Open Women,2101,F,Final,C. Gauff,A. Sabalenka,2023-09-09,16:20,BO3
11896186,2023,US Open Men,1101,F,Final,D. Medvedev,N. Djokovic,2023-09-10,16:20,BO5
