PointID,MatchID,PointInMatch,MatchWinner,SetNo,TieBreak,NewSet,SetWinner,NewGame,GameWinner,GameInSet,GameServer,GamesWonPl1Before,GamesWonPl2Before,PointsScorePl1Before,PointsScorePl2Before,PointWinner,PointInGame
45187,11892864,1,,1,,1,,1,,1,1,0,0,0,0,1,1
45188,11892864,2,,1,,,,,,1,1,0,0,15,0,2,2
45189,11892864,3,,1,,,,,,1,1,0,0,15,15,1,3
45190,11892864,4,,1,,,,,,1,1,0,0,30,15,2,4
45191,11892864,5,,1,,,,,,1,1,0,0,30,30,1,5
45192,11892864,6,,1,,,,,1,1,1,0,0,40,30,1,6
45193,11892864,7,,1,,,,1,,2,2,1,0,0,0,2,1
45194,11892864,8,,1,,,,,,2,2,1,0,0,15,1,2
45195,11892864,9,,1,,,,,,2,2,1,0,15,15,2,3
45196,11892864,10,,1,,,,,,2,2,1,0,15,30,2,4
45197,11892864,11,,1,,,,,2,2,2,1,0,15,40,2,5
45198,11892864,12,,1,,,,1,,3,1,1,1,0,0,1,1
45199,11892864,13,,1,,,,,,3,1,1,1,15,0,1,2
45200,11892864,14,,1,,,,,,3,1,1,1,30,0,1,3
45201,11892864,15,,1,,,,,,3,1,1,1,40,0,2,4
45202,11892864,16,,1,,,,,1,3,1,1,1,40,15,1,5
45203,11892864,17,,1,,,,1,,4,2,2,1,0,0,2,1
45204,11892864,18,,1,,,,,,4,2,2,1,0,15,1,2
45205,11892864,19,,1,,,,,,4,2,2,1,15,15,1,3
45206,11892864,20,,1,,,,,,4,2,2,1,30,15,2,4
45207,11892864,21,,1,,,,,,4,2,2,1,30,30,2,5
45208,11892864,22,,1,,,,,2,4,2,2,1,30,40,2,6
45209,11892864,23,,1,,,,1,,5,1,2,2,0,0,2,1
45210,11892864,24,,1,,,,,,5,1,2,2,0,15,1,2
45211,11892864,25,,1,,,,,,5,1,2,2,15,15,1,3
45212,11892864,26,,1,,,,,,5,1,2,2,30,15,1,4
45213,11892864,27,,1,,,,,1,5,1,2,2,40,15,1,5
45214,11892864,28,,1,,,,1,,6,2,3,2,0,0,2,1
45215,11892864,29,,1,,,,,,6,2,3,2,0,15,1,2
